"112","The White Castle","","2023","7.522","3.02","3","Isra C.,Shei S.","https://boardgamegeek.com/boardgame/371942/the-white-castle"
"113","Keyflower","キーフラワー","2012","7.518","3.34","4","Sebastian Bleasdale,Richard Breese","https://boardgamegeek.com/boardgame/122515/keyflower"
"114","Tigris & Euphrates","チグリス・ユーフラテス","1997","7.517","3.5","4","Reiner Knizia","https://boardgamegeek.com/boardgame/42/tigris-and-euphrates"
"115","Raiders of the North Sea","","2015","7.516","2.56","3","Shem Phillips","https://boardgamegeek.com/boardgame/170042/raiders-of-the-north-sea"
"116","Dominion: Intrigue","ドミニオン：陰謀","2009","7.513","2.41","3","Donald X. Vaccarino","https://boardgamegeek.com/boardgame/40834/dominion-intrigue"
"117","Caylus","","2005","7.511","3.79","3","William Attia","https://boardgamegeek.com/boardgame/18602/caylus"
"118","Dwellings of Eldervale","","2020","7.511","3.24","3","Luke Laurie","https://boardgamegeek.com/boardgame/271055/dwellings-of-eldervale"
"119","Lorenzo il Magnifico","ロレンツォ・イル・マニーフィコ","2016","7.509","3.3","3,4","Flaminia Brasini,Virginio Gigli,Simone Luciani","https://boardgamegeek.com/boardgame/203993/lorenzo-il-magnifico"
"120","Troyes","","2010","7.507","3.46","3","Sébastien Dujardin,Xavier Georges,Alain Orban","https://boardgamegeek.com/boardgame/73439/troyes"
"121","The Quest for El Dorado","エルドラドを探して　新版","2017","7.506","1.94","2,4","Reiner Knizia","https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado"
"122","Eldritch Horror","エルドリッチホラー","2013","7.506","3.32","4","Corey Konieczka,Nikki Valens","https://boardgamegeek.com/boardgame/146021/eldritch-horror"
"123","Mombasa","モンバサ","2015","7.502","3.89","4","Alexander Pfister","https://boardgamegeek.com/boardgame/172386/mombasa"
"124","The Lord of the Rings: Journeys in Middle-Earth","","2019","7.501","2.68","2","Nathan I. Hajek,Grace Holdinghaus","https://boardgamegeek.com/boardgame/269385/the-lord-of-the-rings-journeys-in-middle-earth"
"125","Twilight Imperium: Third Edition","","2005","7.489","4.26","6","Christian T. Petersen","https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition"
"126","Great Western Trail: New Zealand","","2023","7.487","3.96","3","Alexander Pfister","https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand"
"127","Ra","ラー","1999","7.487","2.32","3,4","Reiner Knizia","https://boardgamegeek.com/boardgame/12/ra"
"128","The 7th Continent","","2017","7.484","2.9","1,2","Ludovic Roudy,Bruno Sautter","https://boardgamegeek.com/boardgame/180263/the-7th-continent"
"129","Patchwork","パッチワーク","2014","7.484","1.6","2","Uwe Rosenberg","https://boardgamegeek.com/boardgame/163412/patchwork"
"130","Trajan","トラヤヌス","2011","7.481","3.64","4","Stefan Feld","https://boardgamegeek.com/boardgame/102680/trajan"
"131","Russian Railroads","","2013","7.481","3.4","4","Helmut Ohley,Leonhard "Lonny" Orgler","https://boardgamegeek.com/boardgame/144733/russian-railroads"
"132","Age of Steam","蒸気の時代","2002","7.479","3.87","4","John Bohrer,Martin Wallace","https://boardgamegeek.com/boardgame/4098/age-of-steam"
"133","Dominion","ドミニオン","2008","7.479","2.35","3","Donald X. Vaccarino","https://boardgamegeek.com/boardgame/36218/dominion"
"134","Voidfall","","2023","7.478","4.63","3","Nigel Buckle,Dávid Turczi","https://boardgamegeek.com/boardgame/337627/voidfall"
"135","Nemesis: Lockdown","","2022","7.474","3.9","4","Adam Kwapiński","https://boardgamegeek.com/boardgame/310100/nemesis-lockdown"
"136","Blood on the Clocktower","","2022","7.472","3.03","9,12","Steven Medway","https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower"
"137","Rising Sun","ライジングサン","2018","7.469","3.3","4,5","Eric M. Lang","https://boardgamegeek.com/boardgame/205896/rising-sun"
"138","Hansa Teutonica","","2009","7.466","3.1","5","Andreas Steding","https://boardgamegeek.com/boardgame/43015/hansa-teutonica"
"139","Vinhos: Deluxe Edition","","2016","7.461","4.01","4","Vital Lacerda","https://boardgamegeek.com/boardgame/175640/vinhos-deluxe-edition"
"140","Ticket to Ride Legacy: Legends of the West","チケット・トゥ・ライド・レガシー：西部開拓記","2023","7.461","2.57","4","Rob Daviau,Matt Leacock,Alan R. Moon","https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west"
"141","Aeon's End: War Eternal","イーオンズ・エンド：終わりなき戦い","2017","7.461","2.93","2","Jenny Iglesias,Nick Little (I),Kevin Riley","https://boardgamegeek.com/boardgame/218417/aeons-end-war-eternal"
"142","Clank! In! Space!: A Deck-Building Adventure","クランク！イン・スペース","2017","7.45","2.58","3","Paul Dennen","https://boardgamegeek.com/boardgame/233371/clank-in-space-a-deck-building-adventure"
"143","Iberia","パンデミック：イベリア","2016","7.447","2.58","3,4","Jesús Torres Castro,Matt Leacock","https://boardgamegeek.com/boardgame/198928/iberia"
"144","Forbidden Stars","","2015","7.447","3.84","3","Samuel Bailey,James Kniffen,Corey Konieczka","https://boardgamegeek.com/boardgame/175155/forbidden-stars"
"145","Yokohama","","2016","7.446","3.3","3","Hisashi Hayashi","https://boardgamegeek.com/boardgame/196340/yokohama"
"146","Wonderland's War","ワンダーランズ　ウォー","2022","7.446","3.03","4","Tim Eisner,Ben Eisner,Ian Moss","https://boardgamegeek.com/boardgame/227935/wonderlands-war"
"147","Codenames","コードネーム","2015","7.442","1.26","6,8","Vlaada Chvátil","https://boardgamegeek.com/boardgame/178900/codenames"
"148","Harmonies","ハーモニーズ","2024","7.441","1.99","2,3","Johan Benvenuto","https://boardgamegeek.com/boardgame/414317/harmonies"
"149","Champions of Midgard","","2015","7.437","2.62","4","Ole Steiness","https://boardgamegeek.com/boardgame/172287/champions-of-midgard"
"150","Just One","ジャスト・ワン","2018","7.434","1.04","6,7","Ludovic Roudy,Bruno Sautter","https://boardgamegeek.com/boardgame/254640/just-one"
"151","Roll for the Galaxy","ロール・フォー・ザ・ギャラクシ","2014","7.43","2.78","3,4","Wei-Hwa Huang,Thomas Lehmann","https://boardgamegeek.com/boardgame/132531/roll-for-the-galaxy"
"152","PARKS","","2019","7.429","2.12","3","Henry Audubon","https://boardgamegeek.com/boardgame/266524/parks"
"153","Pandemic","パンデミック","2008","7.423","2.4","4","Matt Leacock","https://boardgamegeek.com/boardgame/30549/pandemic"
"154","Rajas of the Ganges","ガンジスの藩王","2017","7.422","2.89","4","Inka Brand,Markus Brand","https://boardgamegeek.com/boardgame/220877/rajas-of-the-ganges"
"155","The Isle of Cats","アイル・オブ・キャッツ","2019","7.421","2.36","3","Frank West","https://boardgamegeek.com/boardgame/281259/the-isle-of-cats"
